CODIGO	FECHA	VALOR	UNIDAD_MEDIDA
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/06/1984 00:00:00	219,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/06/1984 00:00:00	219,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/06/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/07/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/07/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/07/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/07/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/07/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/07/1984 00:00:00	219,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/07/1984 00:00:00	219,46	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/07/1984 00:00:00	219,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/07/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/07/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/07/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/07/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/07/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/07/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/07/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/07/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/07/1984 00:00:00	219,73	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/07/1984 00:00:00	219,72	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/07/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/07/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/07/1984 00:00:00	219,49	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/07/1984 00:00:00	219,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/07/1984 00:00:00	219,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/07/1984 00:00:00	219,57	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/07/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/07/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/07/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/07/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/07/1984 00:00:00	219,65	msnm
